benchmark,protocol,method,episodes,native_success,native_success_percent,median_policy_seconds,mean_hosted_calls,mean_cost_usd,notes
LIBERO-90,in_domain_seed0,CaP-X,90,19,21.1,,,,
LIBERO-90,in_domain_seed0,RATS-base,90,19,21.1,,,,
LIBERO-90,in_domain_seed0,RATS-90,90,10,11.1,,,,15 development rounds
LIBERO-90,in_domain_seed0,RACaP Phase 1 instrumented,90,42,46.7,,,,fully instrumented replay
LIBERO-90,in_domain_seed0,RACaP Phase 1 retained,90,48,53.3,,,,earlier retained run showing rollout variation
LIBERO-90,in_domain_seed0,RACaP Phase 2,90,49,54.4,,,,archived frozen artifact
LIBERO-PRO,zero_shot_paired,CaP-X,180,24,13.3,845,13.0,0.68,
LIBERO-PRO,zero_shot_paired,RATS-base,180,32,17.8,726,28.5,0.91,
LIBERO-PRO,zero_shot_paired,RATS-90,180,15,8.3,954,45.2,1.25,
LIBERO-PRO,zero_shot_paired,RACaP Phase 1,180,59,32.8,454,16.6,0.28,
LIBERO-PRO,zero_shot_paired,RACaP Phase 2,180,81,45.0,380,15.9,0.24,
LIBERO-Long,long_horizon_5seeds,CaP-X,50,1,2.0,,,,
LIBERO-Long,long_horizon_5seeds,RATS-base,50,2,4.0,,,,
LIBERO-Long,long_horizon_5seeds,RATS-90,50,2,4.0,,,,
LIBERO-Long,long_horizon_5seeds,RACaP Phase 1,50,16,32.0,,,,
LIBERO-Long,long_horizon_5seeds,RACaP Phase 2,50,23,46.0,,,,
Robosuite,cross_embodiment_frozen,CaP-X,35,9,25.7,82.4,2.1,0.111,
Robosuite,cross_embodiment_frozen,RATS-90,35,6,17.1,104.3,3.0,0.169,
Robosuite,cross_embodiment_frozen,RACaP Phase 2,35,6,17.1,44.8,7.8,0.106,LIBERO-frozen artifact
Robosuite,after_domain_evolution,RATS-RS,35,11,31.4,90.7,3.0,0.159,
Robosuite,after_domain_evolution,RACaP-RS,35,11,31.4,32.9,6.7,0.089,
